fid,accident_id,accident_year,accident_outcome,number_of_parties,party_1_object_type,party_1_object_type_other,party_2_object_type,party_2_object_type_other,accident_nature,linking_level,road_situation,built_up_area,speed_limit,road_lighting,road_pavement,road_surface,light_condition,visibility_distance,weather_condition,special_traffic_measure,special_traffic_measure_other,special_infrastructure,special_infrastructure_other,special_temporary_nature,special_temporary_nature_other,junction_id,road_section_id,hectometer,street_name,place_name,current,road_authority,municipality,province,service_area_name,district_name,alcohol_indication,gdb_geometry_attribute_data,geometry
ongevallen_2022_2024.276750,20240091857,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Brandend,Klinkers,Nat,Duisternis,,Droog,,,,,,,,601081697.0,,Tramstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161695.71299999952 383354.6259999983)
ongevallen_2022_2024.277969,20240136547,2024,injury,2,van,,moped,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600219001.0,,,Felix Timmermanslaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161715.51060000062 381045.0756999999)
ongevallen_2022_2024.278571,20240023924,2024,injury,2,passenger_car,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,ZOAB,Droog,Daglicht,,Droog,,,,,Tijd. afsluiting(deels/geheel ,,600218216.0,,,Lichtenberg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159109.39290000126 380765.01740000024)
ongevallen_2022_2024.278733,20240013984,2024,injury,1,bicycle,,,,Eenzijdig,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,Beton,Droog,Daglicht,,Droog,,,,,,,322173039.0,,,Diekirchlaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161120.4541000016 386899.2974999994)
ongevallen_2022_2024.278770,20240016186,2024,injury,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Nat,Daglicht,,Droog,Andere oversteekplaats,,,,,,321177073.0,,,Granaat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160559.46409999952 388727.1997999996)
ongevallen_2022_2024.278902,20240025001,2024,injury,2,light_moped,,light_moped,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600310643.0,,,Oude Bossche Baan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159583.5320999995 386974.180399999)
ongevallen_2022_2024.281399,20240024246,2024,property_damage_only,2,Trekker,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,320163009.0,,,Franz Leharplein,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160156 381623)
ongevallen_2022_2024.282217,20240091952,2024,injury,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,,Regen,,,,,,,,324175024.0,,De Stoutheuvel,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (162282.2259999998 387740.3819999993)
ongevallen_2022_2024.282294,20240092590,2024,injury,2,Motor,,e-bike,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,315164099.0,,,Sliffertsestraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (157568.9285000004 382518.1281999983)
ongevallen_2022_2024.282449,20240073462,2024,property_damage_only,2,passenger_car,,light_moped,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600218115.0,,,de Blécourtstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159268.41149999946 383349.3231999986)
ongevallen_2022_2024.282692,20240072552,2024,injury,2,moped,,light_moped,,Frontaal,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Buiten,50.0,Brandend,Beton,Droog,Schemer,,Droog,,,,,,,,601020387.0,,Anthony Fokkerweg,Eindhoven,False,municipality,Eindhoven,Noord-Brabant,,,,,POINT (156638.12099999934 385702.33199999854)
