fid,accident_id,accident_year,accident_outcome,number_of_parties,party_1_object_type,party_1_object_type_other,party_2_object_type,party_2_object_type_other,accident_nature,linking_level,road_situation,built_up_area,speed_limit,road_lighting,road_pavement,road_surface,light_condition,visibility_distance,weather_condition,special_traffic_measure,special_traffic_measure_other,special_infrastructure,special_infrastructure_other,special_temporary_nature,special_temporary_nature_other,junction_id,road_section_id,hectometer,street_name,place_name,current,road_authority,municipality,province,service_area_name,district_name,alcohol_indication,gdb_geometry_attribute_data,geometry
ongevallen_2022_2024.1383,20240034437,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval gekoppeld op kruispuntniveau.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,Andere oversteekplaats,,,,,,600218945.0,,,Professor Dr Dorgelolaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161535.47239999846 383981.58729999885)
ongevallen_2022_2024.1451,20240034572,2024,property_damage_only,2,passenger_car,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,DIENSTVOERTUIGEN STONDEN OP DE,,DIENSTVOERTUIG STONDEN OP DE R,324169034.0,,,Ds Theodor Fliednerstr,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (162106 384849)
ongevallen_2022_2024.1481,20240034790,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,319167007.0,,Strijpsestraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159600.72300000116 383551.41899999976)
ongevallen_2022_2024.2125,20240092314,2024,property_damage_only,1,bicycle,,,,Los voorwerp,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,ZOAB,Droog,Daglicht,,Droog,,,,,,,,324165071.0,,Geldropseweg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (162270.0610000007 382606.47199999914)
ongevallen_2022_2024.2165,20240092569,2024,injury,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,ZOAB,Droog,Daglicht,,Droog,VOP,,,,,,600219287.0,,,Huizingalaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160064.06639999896 387300.12000000104)
ongevallen_2022_2024.2215,20240082965,2024,injury,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,,Binnen,70.0,Brandend,Overig asfalt,Droog,Duisternis,,Droog,,,,,,,,600803108.0,,Aalsterweg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161855.8830000013 381694.5329999998)
ongevallen_2022_2024.2290,20240043980,2024,property_damage_only,2,light_moped,,moped,,Frontaal,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,Werk in uitvoering,,,314171016.0,,Oirschotsedijk,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (157513.70699999854 386013.93299999833)
ongevallen_2022_2024.2349,20240102576,2024,property_damage_only,2,passenger_car,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600218216.0,,,Lichtenberg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159109.39290000126 380765.01740000024)
ongevallen_2022_2024.4057,20240136888,2024,property_damage_only,2,passenger_car,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,317168068.0,,,Needestraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (158922.98169999942 384277.6141999997)
ongevallen_2022_2024.4128,20240147276,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval gekoppeld op straat niveau.,Rechte weg,Binnen,,Niet brandend,Overig asfalt,Nat,Daglicht,,Droog,Andere oversteekplaats,,,,,,,319167070.0,,Kastanjelaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159793.85500000045 383997.5799999982)
ongevallen_2022_2024.4328,20240156606,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,ZOAB,Nat,Daglicht,,Regen,VOP,,,,,,600219232.0,,,Barrierweg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160330.42269999906 385713.96079999954)
ongevallen_2022_2024.4720,20240155910,2024,property_damage_only,2,passenger_car,,light_moped,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,30.0,Brandend,Klinkers,Nat,Duisternis,,Droog,,,,,,,317166010.0,,,St Theresiastraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (158701.7580000013 383253.16230000183)
ongevallen_2022_2024.4723,20240157063,2024,property_damage_only,2,passenger_car,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,324162034.0,,,Winkelstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (162302.94849999994 381213.1596000008)
ongevallen_2022_2024.5574,20240033862,2024,property_damage_only,2,passenger_car,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rotonde,Binnen,50.0,Niet brandend,Beton,Droog,Daglicht,,Droog,,,,,,,310165163.0,,,Meerhovendreef,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (155460.33999999985 382866.0229999982)
ongevallen_2022_2024.8170,20240092840,2024,property_damage_only,2,passenger_car,,light_moped,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,,Droog,,,,,,,600219018.0,,,Hoogstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160922.00450000167 382838.69260000065)
ongevallen_2022_2024.8256,20240073395,2024,property_damage_only,2,van,,bicycle,,Flank,Ongeval gekoppeld op straat niveau.,Rechte weg,Buiten,70.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,FIETSPAD,,,,318162092.0,,Karel de Grotelaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159244.04199999943 381335.5529999994)
ongevallen_2022_2024.8287,20240073425,2024,property_damage_only,2,moped,,bicycle,,Frontaal,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Nat,Daglicht,,Droog,,,,,,,314171010.0,,,Oirschotsedijk,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (157430.502700001 385933.32360000163)
ongevallen_2022_2024.8380,20240074169,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Schemer,,Droog,,,,,,,600311313.0,,,Stadionplein,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160712.6961000003 383621.4114000015)
ongevallen_2022_2024.8603,20240043713,2024,property_damage_only,2,bicycle,,bicycle,,Flank,Ongeval gekoppeld op straat niveau.,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,,319167025.0,,Frederiklaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159990.78400000185 383727.3779999986)
ongevallen_2022_2024.9892,20240135326,2024,property_damage_only,2,moped,,pedestrian,,Voetganger,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet aanwezig,Overig asfalt,Droog,Daglicht,,Droog,,,,WEGWERKZAAMHEDEN WEGVERSMALLIN,Tijd. afsluiting(deels/geheel ,,,600995135.0,,Keizersgracht,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161282.0540000014 383099.40100000054)
ongevallen_2022_2024.10020,20240136110,2024,property_damage_only,1,moped,,,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rotonde,Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,,Droog,,,,,,,600220715.0,,,Meerhovendreef,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (155460.6713999994 382878.18360000104)
ongevallen_2022_2024.10982,20240025376,2024,property_damage_only,2,light_moped,,passenger_car,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,70.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600218728.0,,,Jeroen Boschlaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (163174.98470000178 383252.99489999935)
ongevallen_2022_2024.11447,20240034101,2024,property_damage_only,2,van,,light_moped,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Klinkers,Nat,Daglicht,,Regen,,,,,,,321166087.0,,,Willemstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160602.28979999945 383294.5551000014)
ongevallen_2022_2024.13545,20240034720,2024,injury,2,moped,,bicycle,,Frontaal,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,600481471.0,,Vestdijk,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161657.3110000007 383135.04399999976)
ongevallen_2022_2024.14275,20240044534,2024,property_damage_only,2,moped,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,30.0,,,,Daglicht,,,,,,,,,,601171717.0,,Pastoor Petersstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160976.7950000018 383979.5469999984)
ongevallen_2022_2024.14353,20240045499,2024,property_damage_only,2,passenger_car,,light_moped,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,,601134187.0,,Achtseweg Zuid,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159504.5700000003 384944.2470000014)
ongevallen_2022_2024.14357,20240073405,2024,injury,2,passenger_car,,moped,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,,Droog,Andere oversteekplaats,,,,,,600218020.0,,,van der Muydenstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (158684.80169999972 383723.04520000145)
ongevallen_2022_2024.14427,20240102647,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Klinkers,Nat,Duisternis,,Regen,,,,,,,319169147.0,,,Marconilaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159965.91039999947 384622.18079999834)
ongevallen_2022_2024.16204,20240147272,2024,property_damage_only,2,light_moped,,passenger_car,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,,600801224.0,,Johannes van der Waalswg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160302.91899999976 384652.9849999994)
ongevallen_2022_2024.16583,20240155596,2024,property_damage_only,2,van,,bicycle,,Onbekend,Ongeval gekoppeld op straat niveau.,,,,,,,Duisternis,,,,,,,,,,322167153.0,,Vestdijk,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161353.20100000128 383589.2349999994)
ongevallen_2022_2024.20154,20240092891,2024,injury,2,bus,,bicycle,,Frontaal,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,Andere oversteekplaats,,,,,,322172097.0,,,Winston Churchilllaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161344.07440000027 386480.31439999864)
ongevallen_2022_2024.20285,20240101762,2024,property_damage_only,2,light_moped,,passenger_car,,Flank,Ongeval gekoppeld op straat niveau.,Rechte weg,Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,,323173063.0,,Sterrenlaan,Eindhoven,False,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161935.0399999991 386497.86300000176)
ongevallen_2022_2024.20495,20240074403,2024,injury,2,bicycle,,bicycle,,Frontaal,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Bocht,Binnen,30.0,Brandend,Overig asfalt,Droog,Duisternis,,Droog,,,,,,,324167003.0,,,Uiverlaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (162494.06859999895 383744.72089999914)
ongevallen_2022_2024.22502,20240016334,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Nat,Daglicht,,Regen,,,,,,,317162064.0,,,Doornburg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (158567.53550000116 381413.1152999997)
ongevallen_2022_2024.22544,20240156343,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Brandend,Overig asfalt,Nat,Duisternis,,Regen,,,,Fietspad,,,600219339.0,,,Veluwelaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160320.4279000014 387485.6079000011)
ongevallen_2022_2024.23378,20240034361,2024,property_damage_only,2,bicycle,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600218322.0,,,High Tech Campus,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160207.56610000134 379743.7754999995)
ongevallen_2022_2024.23542,20240072948,2024,injury,2,passenger_car,,bicycle,,Geparkeerd voertuig,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet aanwezig,Klinkers,Droog,Daglicht,,Droog,,,,,,,,327166110.0,,Gerard Davidstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (163919.99700000137 383066.5850000009)
ongevallen_2022_2024.26143,20240043856,2024,property_damage_only,2,light_moped,,bicycle,,Flank,Ongeval gekoppeld op kruispuntniveau.,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,Brug/viaduct,,,,318165005.0,,,Waldeck Pyrmontstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159098.89930000156 382787.72480000183)
ongevallen_2022_2024.28055,20240146535,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Nat,Daglicht,,Droog,Andere oversteekplaats,,,,,,,600803262.0,,Tondeldoos,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161802.9549999982 388474.9310000017)
ongevallen_2022_2024.28081,20240136331,2024,property_damage_only,2,moped,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Buiten,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600309462.0,,,Anthony Fokkerweg,Eindhoven,False,municipality,Eindhoven,Noord-Brabant,,,,,POINT (157177.1961000003 386094.58839999884)
ongevallen_2022_2024.28651,20240015946,2024,property_damage_only,2,passenger_car,,,FATBIKE,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,,Regen,,,,,,,,326163073.0,,St Petrus Canisiuslaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (163292.93400000036 381686.1400000006)
ongevallen_2022_2024.29519,20240033964,2024,injury,2,moped,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,,Regen,,,,,,,317161061.0,,,Oldengaarde,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (158687.13769999892 380726.4844999984)
ongevallen_2022_2024.32065,20240092625,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,322173007.0,,,Luxemburglaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161293.73319999874 386896.01669999957)
ongevallen_2022_2024.32430,20240102429,2024,property_damage_only,1,bicycle,,,,Onbekend,Ongeval gekoppeld op straat niveau.,Bocht,Binnen,30.0,Niet aanwezig,ZOAB,Droog,Daglicht,,Droog,,,,,,,,323163007.0,,Johan Vestersstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161732.9210000001 381526.3370000012)
ongevallen_2022_2024.33777,20240137315,2024,property_damage_only,2,,FATBIKE,van,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,321163130.0,,,Gestelsestraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160651.18340000138 381879.6372999996)
ongevallen_2022_2024.34373,20240155586,2024,property_damage_only,2,passenger_car,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,ZOAB,Nat,Daglicht,,Droog,,,,,,,320172028.0,,,Bleyslaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160352.16539999843 386285.75939999893)
ongevallen_2022_2024.34416,20240156859,2024,property_damage_only,2,passenger_car,,moped,,Flank,Ongeval gekoppeld op straat niveau.,Rechte weg,Binnen,50.0,Brandend,Klinkers,Droog,Duisternis,,Droog,Andere oversteekplaats,,,,,,,601081710.0,,Vestdijktunnel,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161333.0399999991 383641.23900000006)
ongevallen_2022_2024.34559,20240156388,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,319171020.0,,,Daniël Stalpaertstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159737.5711000003 385928.5700000003)
ongevallen_2022_2024.37328,20240034907,2024,injury,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600219056.0,,,Bayeuxlaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160528.6075000018 381551.2296999991)
ongevallen_2022_2024.37959,20240092179,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Brandend,Beton,Nat,Duisternis,,Regen,,,,,,,323165026.0,,,Geldropseweg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161878.30440000072 382839.92660000175)
ongevallen_2022_2024.37994,20240091988,2024,property_damage_only,1,bicycle,,,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,Beton,Droog,Daglicht,,Droog,,,,,,,,315164074.0,,Meerenakkerweg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (158030.32200000063 382206.97300000116)
ongevallen_2022_2024.38052,20240092440,2024,injury,2,light_moped,,van,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,600311284.0,,,Roosje Vosstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,Ja,,POINT (160648.26960000023 384102.84430000186)
ongevallen_2022_2024.38092,20240092938,2024,property_damage_only,2,passenger_car,,moped,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,,Droog,,,,,,,323163078.0,,,Aalsterweg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,Ja,,POINT (161840.85209999979 381660.2820000015)
ongevallen_2022_2024.38219,20240072645,2024,property_damage_only,2,bicycle,,bicycle,,Kop/staart,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,VOP,,,,,,600311959.0,,,St Jorislaan,Eindhoven,False,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161905.9710999988 382312.2714000009)
ongevallen_2022_2024.38370,20240101974,2024,property_damage_only,2,moped,,passenger_car,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rotonde,Binnen,50.0,Niet brandend,Beton,Droog,Daglicht,,Droog,,,,,,,324177070.0,,,Esp,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (162484.25 388647.94200000167)
ongevallen_2022_2024.38372,20240102237,2024,injury,2,,E-STEP,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,,600798691.0,,Nanteslaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (158379.43400000036 388378.3359999992)
ongevallen_2022_2024.39855,20240147672,2024,injury,2,passenger_car,,bicycle,,Flank,Ongeval gekoppeld op kruispuntniveau.,"Kruispunt, 4 takken",Buiten,60.0,Brandend,ZOAB,Droog,Duisternis,,Droog,Andere oversteekplaats,,,,,,600135995.0,,,Spottersweg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (155549.13659999892 385901.2727999985)
ongevallen_2022_2024.39995,20240136304,2024,property_damage_only,2,bicycle,,passenger_car,,Onbekend,Ongeval gekoppeld op kruispuntniveau.,"Kruispunt, 3 takken",Binnen,50.0,,Overig asfalt,Droog,Daglicht,,Droog,,,,NADEREND EEN STRAAT VAN RECHTS,,,320166026.0,,,Gagelstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160414.74020000175 383323.6246000007)
ongevallen_2022_2024.41424,20240033925,2024,injury,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,70.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,Werk in uitvoering,,600218122.0,,,Botenlaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159504.1964999996 383016.7866999991)
ongevallen_2022_2024.43936,20240044477,2024,property_damage_only,2,passenger_car,,,FATBIKE,Flank,Ongeval gekoppeld op kruispuntniveau.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600218687.0,,,Kanaaldijk-Noord,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (163168.94700000063 382885.9519999996)
ongevallen_2022_2024.43957,20240092900,2024,property_damage_only,3,moped,,bicycle,,Frontaal,Ongeval gekoppeld op straat niveau.,Rechte weg,Binnen,50.0,Niet brandend,ZOAB,Droog,Daglicht,,Droog,,,,,,,,317161037.0,,Lichtenberg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159010.11800000072 380619.74599999934)
ongevallen_2022_2024.44256,20240083354,2024,property_damage_only,2,light_moped,,passenger_car,,Kop/staart,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Bocht,Binnen,15.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,317165026.0,,,Dillenburgstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (158644.14400000125 382714.6889999993)
ongevallen_2022_2024.44273,20240102875,2024,property_damage_only,1,bicycle,,,,Eenzijdig,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,320170025.0,,,Barrierweg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160067.51269999892 385379.746199999)
ongevallen_2022_2024.44283,20240072540,2024,property_damage_only,1,bicycle,,,,Eenzijdig,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,,601249556.0,,Aalsterweg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161828.93400000036 381508.4120000005)
ongevallen_2022_2024.45551,20240136574,2024,property_damage_only,2,light_moped,,passenger_car,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600219487.0,,,Orpheuslaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161806.67689999938 385394.5397000015)
ongevallen_2022_2024.45693,20240136727,2024,property_damage_only,2,bicycle,,moped,,Frontaal,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,317177049.0,,Savoiepad,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (158826.17300000042 388725.6079999991)
ongevallen_2022_2024.45866,20240146529,2024,property_damage_only,2,bus,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,ZOAB,Nat,Daglicht,,Regen,,,,,,,323166019.0,,,Vestdijk,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161499.38199999928 383432.5219999999)
