fid,accident_id,accident_year,accident_outcome,accident_outcome_standardized,number_of_parties,party_1_object_type,party_1_object_type_other,party_2_object_type,party_2_object_type_other,accident_nature,linking_level,road_situation,built_up_area,speed_limit,road_lighting,road_pavement,road_surface,light_condition,visibility_distance,weather_condition,special_traffic_measure,special_traffic_measure_other,special_infrastructure,special_infrastructure_other,special_temporary_nature,special_temporary_nature_other,junction_id,road_section_id,hectometer,street_name,place_name,current,current_boolean,road_authority,municipality,province,service_area_name,district_name,alcohol_indication,gdb_geometry_attribute_data,geometry,longitude,latitude
ongevallen_2022_2024.270893,20230062644,2023,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,ZOAB,Nat,Daglicht,,Regen,,,,,,,600219276.0,,,Gerretsonlaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (159853.0634999983 386449.5113000013),5.457042506478716,51.46708893263532
ongevallen_2022_2024.270971,20230040944,2023,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Onbekend,Ongeval gekoppeld op kruispuntniveau.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,326165061.0,,,Kanaaldijk-Noord,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (163163.0540000014 382887.2170000002),5.5045945655175474,51.43503040653647
ongevallen_2022_2024.271095,20230051532,2023,Letsel,injury,1,Bromfiets,,,,Eenzijdig,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,,Droog,Andere oversteekplaats,,,,,,600219245.0,,,Huizingalaan,Eindhoven,Nee,False,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (160581.06219999865 386493.7122000009),5.467519989066021,51.46747948466712
ongevallen_2022_2024.271097,20230054479,2023,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,VOP,,,,,,600140407.0,,,Kanaalstraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161606.62700000033 383229.3172999993),5.482217891773752,51.438125841986206
ongevallen_2022_2024.271452,20220228908,2022,Uitsluitend materiele schade,property_damage_only,2,Snorfiets,,Personenauto,,Flank,Ongeval gekoppeld op kruispuntniveau.,Rotonde,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,320169082.0,,,Boschdijk,Eindhoven,Nee,False,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (160390.99760000035 384753.93140000105),5.464758012681737,51.45184304422269
ongevallen_2022_2024.271970,20240136508,2024,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Frontaal,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,317168026.0,,,Koenraadlaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (158984.24489999935 384318.40349999815),5.444514972544588,51.44793995439476
ongevallen_2022_2024.272143,20240137317,2024,Uitsluitend materiele schade,property_damage_only,1,Fiets,,,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Droog,Duisternis,,Droog,,,,,,,,600795538.0,,Waterweg,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (155794.46799999848 383111.48000000045),5.398626733061182,51.437104893729
ongevallen_2022_2024.272878,20230109722,2023,Uitsluitend materiele schade,property_damage_only,2,Bromfiets,,Overig wegmeubilair,,Vast voorwerp,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,30.0,Brandend,Klinkers,Droog,Duisternis,,Droog,,,,,,,319167017.0,,,Schootsestraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (159655.93519999832 383913.3158),5.454171979736258,51.44429359562164
ongevallen_2022_2024.273032,20230030630,2023,Letsel,injury,2,Personenauto,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,VOP,,,,,,600211771.0,,,Tongelresestraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (164082.82009999827 384331.46620000154),5.517859048890251,51.44799818628975
ongevallen_2022_2024.273429,20230071082,2023,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet aanwezig,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,600801108.0,,Professor Holstlaan,Eindhoven,Nee,False,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (160273.3660000004 380014.98999999836),5.462994696080356,51.40924735593224
